id;polarity_sum;n_tweets;user_polarity
14257987;5.180819988250732;8;0.6476024985313416
14293178;14.183518409729004;28;0.506554228918893
14304289;3.131155252456665;5;0.626231050491333
14341940;95.783447265625;130;0.7367957481971154
14359866;3.3098855018615723;14;0.2364203929901123
14363287;2.4542665481567383;4;0.6135666370391846
14371224;6.172476291656494;17;0.36308684068567615
14384248;115.28397369384766;172;0.6702556610107422
14406791;0.1482650488615036;4;0.0370662622153759
14414315;5.2301483154296875;7;0.7471640450613839
14432332;0.9685938358306885;4;0.24214845895767212
14472715;13.619343757629395;26;0.5238209137549767
14473189;7.1909098625183105;14;0.5136364187513079
14485447;0.4619557857513428;3;0.15398526191711426
14487224;24.944761276245117;41;0.6084088116157346
14488923;21.330421447753906;47;0.4538387542075299
14489861;40.05339813232422;59;0.6788711547851562
14496320;4.737144470214844;14;0.3383674621582031
